epoch: 0  loss_for: 11.33854866027832  loss_rev: 2.4473676681518555
epoch: 1  loss_for: 7.048091411590576  loss_rev: 38.5427360534668
epoch: 2  loss_for: 6.491596221923828  loss_rev: 1.9353053569793701
epoch: 3  loss_for: 6.474591255187988  loss_rev: 1.6343899965286255
epoch: 4  loss_for: 6.692912578582764  loss_rev: 2.4580788612365723
epoch: 5  loss_for: 4.797661781311035  loss_rev: 3.351414442062378
epoch: 6  loss_for: 4.825850963592529  loss_rev: 2.1435606479644775
epoch: 7  loss_for: 4.7245378494262695  loss_rev: 1.7067219018936157
epoch: 8  loss_for: 4.765012264251709  loss_rev: 1.6335235834121704
epoch: 9  loss_for: 4.477859020233154  loss_rev: 2.049403429031372
epoch: 10  loss_for: 4.450142860412598  loss_rev: 1.8996623754501343
epoch: 11  loss_for: 4.698483943939209  loss_rev: 1.5731735229492188
epoch: 12  loss_for: 4.699876308441162  loss_rev: 7.759400844573975
epoch: 13  loss_for: 5.063183784484863  loss_rev: 1.8337410688400269
epoch: 14  loss_for: 4.482400417327881  loss_rev: 1.9506622552871704
epoch: 15  loss_for: 4.515733242034912  loss_rev: 2.999498128890991
epoch: 16  loss_for: 8.228363990783691  loss_rev: 11.202099800109863
epoch: 17  loss_for: 5.285199165344238  loss_rev: 2.2025070190429688
epoch: 18  loss_for: 4.670486927032471  loss_rev: 2.0345346927642822
epoch: 19  loss_for: 4.730649471282959  loss_rev: 1.920837163925171
epoch: 20  loss_for: 4.563891887664795  loss_rev: 1.793269395828247
epoch: 21  loss_for: 4.829902172088623  loss_rev: 2.0689632892608643
epoch: 22  loss_for: 4.626384258270264  loss_rev: 1.8514018058776855
epoch: 23  loss_for: 4.528639793395996  loss_rev: 1.748222827911377
epoch: 24  loss_for: 4.494246959686279  loss_rev: 4.514030456542969
epoch: 25  loss_for: 4.934719085693359  loss_rev: 3.218299627304077
epoch: 26  loss_for: 4.671487808227539  loss_rev: 1.7739299535751343
epoch: 27  loss_for: 4.225003719329834  loss_rev: 1.6275490522384644
epoch: 28  loss_for: 4.179690361022949  loss_rev: 1.605612874031067
epoch: 29  loss_for: 4.103855609893799  loss_rev: 2.0744740962982178
epoch: 30  loss_for: 4.213357448577881  loss_rev: 1.9364230632781982
epoch: 31  loss_for: 4.368065357208252  loss_rev: 1.7746574878692627
epoch: 32  loss_for: 4.29911470413208  loss_rev: 2.0484700202941895
epoch: 33  loss_for: 4.083014965057373  loss_rev: 1.761273980140686
epoch: 34  loss_for: 3.972224473953247  loss_rev: 1.4286326169967651
epoch: 35  loss_for: 3.7857892513275146  loss_rev: 1.4273922443389893
epoch: 36  loss_for: 3.7045319080352783  loss_rev: 1.2981621026992798
epoch: 37  loss_for: 4.158634185791016  loss_rev: 1.3932125568389893
epoch: 38  loss_for: 4.022487640380859  loss_rev: 1.7588484287261963
epoch: 39  loss_for: 4.3632731437683105  loss_rev: 1.8751879930496216
epoch: 40  loss_for: 4.2855916023254395  loss_rev: 2.022090435028076
epoch: 41  loss_for: 4.0873870849609375  loss_rev: 1.5648672580718994
epoch: 42  loss_for: 3.703664779663086  loss_rev: 1.2421687841415405
epoch: 43  loss_for: 3.659210443496704  loss_rev: 1.109580159187317
epoch: 44  loss_for: 3.7417733669281006  loss_rev: 1.2507871389389038
epoch: 45  loss_for: 3.7743420600891113  loss_rev: 1.5029648542404175
epoch: 46  loss_for: 3.9290404319763184  loss_rev: 2.8455464839935303
epoch: 47  loss_for: 4.252285957336426  loss_rev: 1.6859369277954102
epoch: 48  loss_for: 3.7612364292144775  loss_rev: 1.2569353580474854
epoch: 49  loss_for: 3.6289422512054443  loss_rev: 1.4184073209762573
epoch: 50  loss_for: 3.5251548290252686  loss_rev: 1.1405553817749023
epoch: 51  loss_for: 3.5796148777008057  loss_rev: 1.0249963998794556
epoch: 52  loss_for: 3.5036745071411133  loss_rev: 1.0122877359390259
epoch: 53  loss_for: 3.5549089908599854  loss_rev: 0.9368487000465393
epoch: 54  loss_for: 3.555891513824463  loss_rev: 0.9512800574302673
epoch: 55  loss_for: 3.4149608612060547  loss_rev: 0.9166496992111206
epoch: 56  loss_for: 3.373279333114624  loss_rev: 0.8911634683609009
epoch: 57  loss_for: 3.4111905097961426  loss_rev: 1.0995244979858398
epoch: 58  loss_for: 3.3441317081451416  loss_rev: 1.0371484756469727
epoch: 59  loss_for: 3.299654483795166  loss_rev: 0.9751801490783691
epoch: 60  loss_for: 3.2875006198883057  loss_rev: 0.9927969574928284
epoch: 61  loss_for: nan  loss_rev: nan
epoch: 62  loss_for: 3.4369874000549316  loss_rev: 1.0951462984085083
epoch: 63  loss_for: 3.3292407989501953  loss_rev: 1.1271156072616577
epoch: 64  loss_for: 3.5145177841186523  loss_rev: 1.2041157484054565
epoch: 65  loss_for: 3.268984794616699  loss_rev: 1.2888695001602173
epoch: 66  loss_for: 3.5316224098205566  loss_rev: 1.2714283466339111
epoch: 67  loss_for: 3.487788438796997  loss_rev: 1.0495318174362183
epoch: 68  loss_for: 3.313831090927124  loss_rev: 1.127403736114502
epoch: 69  loss_for: 3.5371015071868896  loss_rev: 1.3865184783935547
epoch: 70  loss_for: 3.608323097229004  loss_rev: 1.1914961338043213
